id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
rocket-pool,rpl,Rocket Pool,https://assets.coingecko.com/coins/images/2090/large/rocket_pool_%28RPL%29.png?1637662441,25.87,507868379,80,507868379,3361878,26.86,25.88,-0.989152009204858,-3.68239,-19070474.69447732,-3.61911,19620795.3927166,19620795.3927166,,61.9,-58.16986,2023-04-16T19:20:19.534Z,0.00884718,292558.12749,2018-08-28T00:00:00.000Z,,2023-08-16T09:57:19.179Z
paxos-standard,usdp,Pax Dollar,https://assets.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1629877204,1.0,506014698,81,506014698,1498204,1.001,0.997671,-0.000323602012652691,-0.03235,121113,0.02394,506100005.200683,506100005.200683,,1.13,-11.31257,2018-10-15T07:09:12.459Z,0.863529,15.81611,2021-05-19T13:14:42.046Z,"{'times': 2.6441489485e-05, 'currency': 'usd', 'percentage': 0.0026441489485}",2023-08-16T09:57:26.345Z
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth.png?1687143191,36.62,493545872,82,493545872,4932.94,37.0,36.57,-0.38023386158308625,-1.02763,-5188432.425453305,-1.04032,13477243.0995894,13477243.0995894,,97.75,-62.5366,2021-11-21T12:39:57.508Z,1.89,1841.41519,2020-03-13T02:22:33.711Z,,2023-08-16T09:07:00.941Z
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/TKmaTqMv_400x400.jpeg?1668395911,0.266055,484503388,83,2691685489,1224533241,0.455153,0.159505,0.067975,34.31669,484503388,0.0,1800000000.0,10000000000.0,,0.455153,-40.80462,2023-08-16T02:30:15.888Z,0.159505,68.91595,2023-08-15T12:35:15.027Z,,2023-08-16T09:57:26.221Z
chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/CHZ_Token_updated.png?1675848257,0.069139,482398497,84,614708075,45633235,0.074973,0.068914,-0.005834073692269779,-7.78154,-40066719.651073754,-7.66878,6975647158.46,8888888888.0,8888888888.0,0.878633,-92.15393,2021-03-13T08:04:21.200Z,0.00410887,1577.78749,2019-09-28T00:00:00.000Z,"{'times': 2.1426893431348377, 'currency': 'usd', 'percentage': 214.26893431348378}",2023-08-16T09:57:21.583Z
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/klaytn.png?1660288824,0.149536,477838040,85,,7816890,0.1565,0.149175,-0.006964049662518818,-4.44987,-22591699.556744397,-4.51446,3195105498.0609,,,4.34,-96.55491,2021-03-30T03:44:28.828Z,0.06044,147.3205,2020-04-29T08:19:34.574Z,,2023-08-16T09:57:19.515Z
curve-dao-token,crv,Curve DAO,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,0.553323,475326539,86,1832035550,72097471,0.58571,0.547574,-0.032133945736325,-5.48869,-23261466.47751081,-4.66547,856980074.0,1996900368.54936,3303030299.0,15.37,-96.39897,2020-08-14T00:00:00.000Z,0.331577,66.94584,2020-11-05T13:09:50.181Z,,2023-08-16T09:57:21.695Z
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1671179394,1.58,475055129,87,789913939,282564199,1.65,1.46,0.01891899,1.21274,6212794,1.32513,300700561.0,500000000.0,500000000.0,20.87,-92.42963,2021-05-19T00:30:09.436Z,0.00851264,18457.72584,2019-09-28T00:00:00.000Z,"{'times': 40.55119433135858, 'currency': 'usd', 'percentage': 4055.119433135858}",2023-08-16T09:57:25.493Z
frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/Frax_Shares_icon.png?1679886947,6.48,473016042,88,647484935,34769974,6.93,6.46,-0.43079751424805846,-6.22966,-32257703.55383891,-6.3842,72821876.7656727,99681752.7128909,99681752.7128909,42.8,-84.82804,2022-01-12T15:22:27.465Z,1.5,331.99435,2021-06-25T16:50:51.447Z,,2023-08-16T09:57:23.260Z
pax-gold,paxg,PAX Gold,https://assets.coingecko.com/coins/images/9519/large/paxgold.png?1687143101,1899.85,471849022,89,471849022,8014547,1908.94,1895.2,-1.934859305913733,-0.10174,-72114.01897281408,-0.01528,248343.361,248343.361,,2241.37,-15.14363,2021-05-17T19:02:29.657Z,1399.64,35.88797,2019-11-18T03:09:35.959Z,,2023-08-16T09:57:24.612Z
tether-gold,xaut,Tether Gold,https://assets.coingecko.com/coins/images/10481/large/Tether_Gold.png?1668148656,1904.72,470023642,90,470023642,2445387,1911.32,1900.44,-2.347962097694108,-0.12312,-507630.31929296255,-0.10788,246524.33,246524.33,,2169.74,-11.97135,2023-03-15T20:36:21.941Z,1447.84,31.92008,2020-03-19T13:45:41.821Z,,2023-08-16T09:57:18.210Z
frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1679886981,1818.46,455258666,91,455258666,2436069,1840.49,1816.73,-19.786798491605623,-1.07639,-1094040.5370402932,-0.23974,250413.900572413,250413.900572413,,2134.61,-14.84022,2023-04-16T19:24:52.171Z,1137.25,59.84473,2022-11-23T02:25:33.267Z,,2023-08-16T09:57:22.654Z
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.159653,444333086,92,444333086,8560994,0.168077,0.159345,-0.008423580266201243,-5.01175,-22035834.529511154,-4.72498,2779530283.277761,2779530283.0,,5.25,-96.95628,2017-12-19T00:00:00.000Z,0.081637,95.69234,2020-03-13T02:22:41.168Z,"{'times': 3.09236754210555, 'currency': 'btc', 'percentage': 309.236754210555}",2023-08-16T09:57:24.437Z
tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1672912391,5.47,436365949,93,545484711,6490172,5.54,5.44,-0.06050496038124909,-1.0944,-5679886.55990994,-1.28491,79995999.94518414,100000000.0,100000000.0,22.3,-75.49585,2022-10-31T10:23:59.455Z,0.111255,4810.80731,2019-04-28T00:00:00.000Z,"{'times': 17.822957454494635, 'currency': 'usd', 'percentage': 1782.2957454494633}",2023-08-16T09:55:06.710Z
bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1643857231,4.45026e-07,423000882,94,440152739,19789353,4.58248e-07,4.43135e-07,-1.2771578348e-08,-2.78979,-13064206.073902726,-2.99593,951421714286000.0,990000000000000.0,990000000000000.0,3.43e-06,-87.03553,2022-01-21T04:00:31.909Z,4.43135e-07,0.38806,2023-08-16T08:35:16.979Z,,2023-08-16T09:57:25.277Z
mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,0.443674,422717944,95,472534694,14199289,0.484244,0.442971,-0.040569304225418934,-8.37787,-38613703.99666774,-8.37005,951679806.840039,1063834012.84004,,9.09,-95.12743,2021-06-01T01:42:37.064Z,0.380741,16.33461,2023-06-10T06:00:03.859Z,,2023-08-16T09:57:15.928Z
casper-network,cspr,Casper Network,https://assets.coingecko.com/coins/images/15279/large/casper.PNG?1620341020,0.03725556,418412855,96,444038295,4484520,0.03840308,0.03662898,-0.001056614530641778,-2.75791,-15506746.376079261,-3.57365,11250309066.0,11939327375.0,,1.33,-97.19241,2021-05-12T00:00:00.000Z,0.02241297,66.03366,2022-06-18T20:14:44.694Z,,2023-08-16T09:57:22.712Z
terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1653547790,6.941e-05,404220173,97,475221519,48401703,7.788e-05,6.826e-05,-8.47932702186e-06,-10.88702,-48787662.82510769,-10.76972,5816997683162.0,6838754371083.85,,119.18,-99.99994,2022-04-05T12:24:58.854Z,9.99967e-07,6827.73193,2022-05-13T02:34:40.340Z,,2023-08-16T09:57:27.304Z
huobi-token,ht,Huobi,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,2.53,403808638,98,509301328,6649935,2.59,2.52,-0.03906492729905153,-1.5181,-6902080.682625711,-1.68052,159406077.0,201050000.0,201050000.0,39.66,-93.60929,2021-05-12T14:42:21.586Z,0.3138,707.7131,2023-03-10T05:05:00+08:00,"{'times': 1.5598161574591, 'currency': 'usd', 'percentage': 155.98161574591}",2023-08-16T09:57:19.714Z
sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1683114182,0.554809,400806224,99,5542411225,109484384,0.590198,0.550692,-0.035290828611587166,-5.98048,-25200749.83343494,-5.91557,723162190.461538,10000000000.0,10000000000.0,2.16,-74.41513,2023-05-03T12:00:26.430Z,0.550692,0.46937,2023-08-15T19:34:59.901Z,,2023-08-16T09:57:17.140Z
gmx,gmx,GMX,https://assets.coingecko.com/coins/images/18323/large/arbit.png?1631532468,42.18,377378479,100,558555101,24029427,46.9,42.07,-4.624471267902649,-9.8806,-40757314.728921354,-9.74739,8952142.46710496,8952449.83894312,13250000.0,91.07,-53.74549,2023-04-18T10:00:25.680Z,11.53,265.22604,2022-06-15T09:30:22.146Z,,2023-08-16T09:57:23.854Z
