id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,3.81,1687674785,32,7478850524,113346997,4.03,3.75,-0.21707229108650328,-5.38542,-95053547.74301457,-5.33191,442649296.0,1961579298.0,1961579298.0,236.84,-98.39196,2021-04-01T13:29:41.564Z,2.64,44.20826,2022-12-16T22:45:28.552Z,,2023-08-16T09:57:21.075Z
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,3.77,1664244560,33,1768500334,38679741,4.04,3.75,-0.2657486567372924,-6.58235,-119540170.25369573,-6.70149,441552850.882911,503896098.753986,469213710.0,700.65,-99.46245,2021-05-10T16:05:53.653Z,3.4,10.80691,2022-12-19T22:45:01.729Z,,2023-08-16T09:57:19.903Z
lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1609873644,1.72,1511286602,34,1719634722,51860813,1.82,1.7,-0.10510994637224735,-5.76919,-89730360.80900383,-5.60459,878841641.648832,1000000000.0,1000000000.0,7.3,-76.41967,2021-08-20T08:35:20.158Z,0.40615,323.99163,2022-06-18T20:55:12.035Z,,2023-08-16T09:57:21.984Z
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1689320029,0.45393,1468068363,35,2823013217,11745839,0.458149,0.453902,-0.004106890304737377,-0.89663,-13646924.193568707,-0.92102,3234268324.76314,6219316794.99,6219316794.99,0.600075,-24.37705,2023-07-20T22:39:30.228Z,0.45061,0.70661,2023-08-08T23:34:42.573Z,,2023-08-16T09:57:21.074Z
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,99.79,1451675228,36,1458494030,19702901,101.3,98.61,-1.2444669525354044,-1.2317,-17312012.04741478,-1.1785,14544176.164091088,14612493.0,14612493.0,427.42,-76.65163,2021-09-11T09:15:00.668Z,0.215773,46150.45355,2018-08-23T00:00:00.000Z,"{'times': 22.557330033474834, 'currency': 'eth', 'percentage': 2255.7330033474836}",2023-08-16T09:57:19.270Z
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1666839629,6.37,1438817182,37,6698314871,104739582,6.96,6.36,-0.5929373824006268,-8.5212,-130514715.46516061,-8.31658,225572605.893237,1050137820.8523,,19.92,-68.00151,2023-01-26T14:25:17.390Z,3.08,106.96915,2022-12-29T21:35:14.796Z,,2023-08-16T09:57:18.920Z
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1669699773,0.054812,1435346424,38,1642479869,10687654,0.056725,0.054771,-0.001814170437661411,-3.20375,-49448879.48086405,-3.33035,26216694362.8447,30000000000.0,,0.965407,-94.32181,2021-11-24T15:53:54.855Z,0.0121196,352.30564,2019-02-08T00:00:00.000Z,,2023-08-16T09:57:24.223Z
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1680097630,1.1,1404725583,39,11017455556,193138059,1.16,1.1,-0.03932665321921735,-3.44974,-48068187.29283261,-3.30867,1275000000.0,10000000000.0,10000000000.0,8.67,-87.28341,2023-03-23T13:10:03.106Z,0.912886,20.81937,2023-06-15T07:25:14.752Z,,2023-08-16T09:57:22.719Z
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1680067517,0.01718323,1249228992,40,1489715419,43220526,0.01841792,0.01716418,-0.001215234775331534,-6.60509,-87824539.41199183,-6.56851,72714516834.0,85985041177.0,86712634466.0,0.280991,-93.89178,2021-04-19T01:08:21.675Z,0.00191713,795.27131,2020-03-13T02:29:59.652Z,"{'times': 2.3016832302965478, 'currency': 'eth', 'percentage': 230.16832302965477}",2023-08-16T09:57:26.353Z
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1683515160,1.25,1179568880,41,1252633065,69990627,1.33,1.25,-0.07867743816302597,-5.91588,-73514752.07583857,-5.86671,941671517.686093,1000000000.0,,20.44,-93.869,2022-01-16T22:09:45.873Z,0.526762,137.87977,2020-11-04T16:09:15.137Z,,2023-08-16T09:57:22.919Z
