fecha,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,dogecoin,cardano,solana,tron,polkadot,monero
2023-08-06,29044.204,1826.707,0.998,242.575,0.622,1.000,1826.235,0.074,0.292,23.160,0.077,4.994,159.589
2023-08-07,29178.148,1826.933,0.999,241.738,0.621,1.000,1821.724,0.073,0.290,23.052,0.077,4.957,158.267
2023-08-08,29779.562,1856.844,1.000,245.179,0.643,1.000,1856.795,0.075,0.298,24.204,0.077,5.062,158.945
2023-08-09,29585.488,1855.891,1.000,244.010,0.644,1.000,1855.359,0.075,0.301,24.385,0.077,5.058,157.317
2023-08-10,29423.819,1850.877,0.999,241.232,0.633,1.000,1849.451,0.076,0.296,24.619,0.077,4.999,155.967
2023-08-11,29396.848,1847.542,0.999,239.596,0.632,1.000,1846.298,0.076,0.293,24.580,0.077,5.003,156.755
2023-08-12,29412.142,1848.505,0.999,240.088,0.627,1.000,1846.711,0.077,0.292,24.892,0.077,5.032,157.684
2023-08-13,29284.970,1839.513,0.999,240.031,0.626,1.000,1837.913,0.075,0.289,24.223,0.077,4.985,158.131
2023-08-14,29400.587,1843.513,0.999,240.358,0.635,1.000,1842.553,0.075,0.290,25.148,0.077,4.986,158.181
2023-08-15,29170.490,1826.913,0.999,236.607,0.609,1.000,1826.361,0.071,0.282,23.876,0.076,4.811,155.293
2023-08-16,29112.960,1820.629,0.998,233.683,0.597,1.000,1819.445,0.070,0.277,23.287,0.076,4.770,155.723
